Names,Area, Population, Density,Capital
Algeria,2381741,"	40606052","	17.05",Alger
Egypt,"	1001450","	95688681","	96",Cairo
Libya,"	1759540","	6293253","	3.58",Tripoli
Morocco,"	710850","	35276786","	73.1",Rabat
Tunisia,"	163610","	11403248","	63",Tunisia
